case_index,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_stdev_ms,tl_mean_ms,tl_median_ms,tl_min_ms,tl_max_ms,tl_stdev_ms,ac_mean_ms,ac_median_ms,ac_min_ms,ac_max_ms,ac_stdev_ms,ac_vs_ref_speedup,tl_vs_ref_speedup
137,0.2957,0.2966,0.2884,0.3072,0.0052,0.5482,0.5434,0.5384,0.5694,0.0108,0.3246,0.3193,0.3165,0.3612,0.0132,0.911,0.539
138,79.1089,78.4218,77.7945,81.6305,1.3527,233.6400,233.5251,233.2853,234.4117,0.3748,277.0668,277.0968,274.0480,279.9894,3.0176,0.286,0.339
139,8.8591,8.8254,8.7828,9.0497,0.0829,21.7759,21.6544,21.6463,22.4422,0.2686,25.5243,25.5332,25.2308,25.8009,0.2864,0.347,0.407
140,79.8448,79.3032,78.8504,83.5554,1.4333,218.4903,218.1998,218.1365,220.9943,0.8834,259.6524,259.6999,256.7947,262.5107,2.9096,0.308,0.365
141,0.4456,0.4455,0.4339,0.4631,0.0094,2.5502,2.5479,2.5108,2.5834,0.0236,2.6468,2.6493,2.6162,2.6877,0.0196,0.168,0.175
142,0.4513,0.4009,0.3759,0.5873,0.0924,2.1871,2.1791,2.1359,2.2248,0.0326,2.2079,2.2021,2.1736,2.2463,0.0230,0.204,0.206
143,0.4481,0.4181,0.3901,0.5880,0.0659,2.3920,2.3822,2.3722,2.4447,0.0233,2.4977,2.4936,2.4610,2.5349,0.0214,0.179,0.187
144,0.3100,0.3094,0.3015,0.3246,0.0066,0.5091,0.5061,0.5006,0.5382,0.0110,0.2943,0.2927,0.2908,0.3101,0.0057,1.053,0.609
145,0.3015,0.3022,0.2920,0.3112,0.0073,0.5479,0.5428,0.5339,0.5870,0.0161,0.2978,0.2952,0.2873,0.3203,0.0096,1.012,0.550
146,0.3107,0.3033,0.2954,0.3595,0.0188,0.5167,0.5095,0.5043,0.5758,0.0213,0.2944,0.2925,0.2900,0.3110,0.0061,1.055,0.601
147,0.2752,0.2754,0.2683,0.2793,0.0035,0.5181,0.5172,0.5110,0.5270,0.0058,0.2785,0.2759,0.2706,0.2973,0.0083,0.988,0.531
148,0.2822,0.2769,0.2728,0.3024,0.0108,0.5296,0.5220,0.5076,0.5951,0.0263,0.2789,0.2763,0.2735,0.2958,0.0071,1.012,0.533
149,0.2804,0.2738,0.2690,0.3156,0.0141,0.5170,0.5165,0.5094,0.5251,0.0054,0.2796,0.2764,0.2737,0.2974,0.0087,1.003,0.542
150,83.5697,83.1084,82.0219,86.6830,1.3903,233.4095,233.2480,233.1223,234.0950,0.3339,277.5469,277.6138,274.8707,280.2098,2.6578,0.301,0.358
151,2.6206,2.3424,2.2531,4.9989,0.8427,11.1372,11.0959,11.0717,11.3084,0.0852,12.8965,12.8973,12.7784,13.0336,0.1220,0.203,0.235
152,92.5529,92.4776,84.4786,101.0872,4.4018,232.0886,232.1416,231.6984,232.5148,0.2499,276.8274,276.5078,273.6491,284.4704,3.5796,0.334,0.399
